question,answer
How do I apply to the university?,Use the official admissions application portal and follow the program-specific requirements.
What documents are required for admission?,Required documents vary by program and are listed on the admissions page.
When is the application deadline?,Check the admissions calendar for your program and applicant type.
How do I check my application status?,Log in to the applicant portal and review the application-status section.
Can I change my program choice after applying?,Contact admissions because changes depend on deadlines and program availability.
How do I submit transcripts?,Follow the transcript-upload or official-delivery instructions in the applicant portal.
Do I need proof of English proficiency?,Language requirements depend on prior education and the selected program.
Can I defer my admission?,Deferral rules vary by program; submit a request through admissions if eligible.
How do I accept an admission offer?,"Open the applicant portal, review the offer conditions, and follow the acceptance instructions."
How do I decline an admission offer?,Use the response option in the applicant portal or contact admissions.
How do I register for courses?,Use the student registration system during your assigned registration period.
Why can I not register?,"Check holds, prerequisites, registration time, course restrictions, and available seats."
What is a prerequisite?,A prerequisite is a course or condition that must be completed before another course.
What is a corequisite?,A corequisite is a course that must be taken before or at the same time as another course.
How do I join a waitlist?,Use the waitlist option in the registration system when the course supports it.
How do I drop a course?,Use the registration system before the applicable academic deadline.
How do I withdraw from a course?,Follow the withdrawal process and confirm the academic and financial consequences.
What is the difference between dropping and withdrawing?,"A drop may remove the course earlier, while a withdrawal may remain on the academic record."
Can I take a course without the prerequisite?,Permission may be possible only through the department or instructor.
How many credits can I take?,Credit limits depend on program status and academic regulations.
Where can I see my class schedule?,Open the student portal and view the registered-course schedule.
How do I find the classroom?,Check the course schedule and campus map for the building and room.
How do I know whether a class is online?,The course schedule lists its delivery mode and location.
What happens if a class is cancelled?,The department normally updates registration and contacts enrolled students.
Can I switch lab sections?,Switch sections through registration if another eligible section has space.
How do I contact my professor?,Use the official email or contact information shown in the course outline.
Where is the course outline?,Check the learning-management system or department course page.
How do I access the learning-management system?,Log in with your university account through the official LMS link.
I cannot see my course online.,"Confirm registration and allow synchronization time, then contact technical support or the instructor."
How do I submit an assignment?,Follow the submission instructions and deadline shown in the course site.
What happens if I submit late?,Late penalties and exceptions are defined in the course outline.
How do I request an extension?,Contact the instructor before the deadline and provide required documentation.
How are grades calculated?,The course outline lists assessment weights and grading rules.
Where can I see my grades?,Check the course site for assessment grades and the student portal for final grades.
How do I appeal a grade?,Follow the university's grade-review and appeal procedure within the deadline.
What is academic integrity?,Academic integrity requires honest work and proper acknowledgment of sources and collaboration.
What counts as plagiarism?,"Plagiarism includes presenting another person's words, ideas, or work without proper attribution."
Can I use AI tools for an assignment?,Use is permitted only when the instructor and course rules explicitly allow it.
What happens if I miss an exam?,Contact the instructor or exam office immediately and follow the deferred-exam procedure.
How do I request a deferred exam?,Submit the required request and documentation within the stated deadline.
Where is my exam schedule?,Check the official examination schedule in the student portal.
What should I bring to an exam?,Bring required identification and permitted materials listed in the exam instructions.
Can I write an exam remotely?,Remote exam availability depends on the course and official accommodation.
How do I request exam accommodations?,Register with the accessibility office and follow its exam-booking process.
What is my tuition balance?,Log in to the student account or finance section of the portal.
When is tuition due?,Consult the official fee-payment deadlines for the term.
How do I pay tuition?,Use one of the approved payment methods listed by student accounts.
Why is there a late fee?,Late fees may be applied when payment is not received by the deadline.
Can I get a tuition receipt?,Download receipts or tax documents from the student finance portal when available.
How do I apply for financial aid?,"Use the appropriate government, university, or scholarship application process."
Where can I find scholarships?,Review the university awards database and program-specific opportunities.
How do I apply for a bursary?,Submit the bursary application and required financial information by the deadline.
When will financial aid arrive?,Disbursement timing depends on eligibility confirmation and the funding provider.
Why is there a hold on my account?,"A hold may relate to fees, documents, advising, conduct, or another administrative requirement."
How do I remove a hold?,Open the hold details in the portal and contact the listed office.
How do I get an official transcript?,Order it through the official transcript service.
