question,answer
How can I contact Schönline?,"Use the website contact form, call +1 (212) 461-1725, or email info@schonline.com."
I want to contact Schönline.,"Use the website contact form, call +1 (212) 461-1725, or email info@schonline.com."
How can I find Schönline's address?,"The website lists 240 West 37th St, Suite 303, New York, NY 10018."
I want to find Schönline's address.,"The website lists 240 West 37th St, Suite 303, New York, NY 10018."
How can I learn what product series are available?,"The US website lists LINE90, PRIME70, PRIME Sliding, LINE70 Sliding, and PRIMELINE."
I want to learn what product series are available.,"The US website lists LINE90, PRIME70, PRIME Sliding, LINE70 Sliding, and PRIMELINE."
How can I understand what LINE90 is?,LINE90 is a high-insulation series with a 90 mm frame depth and a six-chamber profile system.
I want to understand what LINE90 is.,LINE90 is a high-insulation series with a 90 mm frame depth and a six-chamber profile system.
How can I find the LINE90 frame depth?,"LINE90 has a listed frame depth of 3 9/16 inches, or 90 mm."
I want to find the LINE90 frame depth.,"LINE90 has a listed frame depth of 3 9/16 inches, or 90 mm."
How can I know whether LINE90 supports triple glazing?,Yes. LINE90 is presented as capable of accommodating triple glazing.
I want to know whether LINE90 supports triple glazing.,Yes. LINE90 is presented as capable of accommodating triple glazing.
How can I know whether LINE90 is energy efficient?,Yes. It is designed for maximum energy efficiency and strong thermal insulation.
I want to know whether LINE90 is energy efficient.,Yes. It is designed for maximum energy efficiency and strong thermal insulation.
How can I learn about LINE90 seals?,"The LINE90 triple-seal system is described as helping protect against cold, dust, rainwater, and outside noise."
I want to learn about LINE90 seals.,"The LINE90 triple-seal system is described as helping protect against cold, dust, rainwater, and outside noise."
How can I know whether LINE90 is Passive House compliant?,The website states that LINE90 is fully compliant with Passive House regulations.
I want to know whether LINE90 is Passive House compliant.,The website states that LINE90 is fully compliant with Passive House regulations.
How can I understand what PRIME70 is?,"PRIME70 is a 70 mm, six-chamber series combining insulation, security, and aesthetics."
I want to understand what PRIME70 is.,"PRIME70 is a 70 mm, six-chamber series combining insulation, security, and aesthetics."
How can I find the PRIME70 frame depth?,"PRIME70 has a listed frame depth of 2 3/4 inches, or 70 mm."
I want to find the PRIME70 frame depth.,"PRIME70 has a listed frame depth of 2 3/4 inches, or 70 mm."
How can I learn what glazing PRIME70 supports?,"The website lists single, double, or triple glazing."
I want to learn what glazing PRIME70 supports.,"The website lists single, double, or triple glazing."
How can I understand PRIME70 security?,"The page describes reinforced frames, advanced locking systems, and RC2-rated burglary protection."
I want to understand PRIME70 security.,"The page describes reinforced frames, advanced locking systems, and RC2-rated burglary protection."
How can I learn about PRIME70 performance standards?,"The product page lists standards for air, water, wind load, thermal performance, solar heat gain, and sound transmission."
I want to learn about PRIME70 performance standards.,"The product page lists standards for air, water, wind load, thermal performance, solar heat gain, and sound transmission."
How can I understand what PRIME Sliding is?,PRIME Sliding is a large-format sliding system designed for smooth operation and thermal performance.
I want to understand what PRIME Sliding is.,PRIME Sliding is a large-format sliding system designed for smooth operation and thermal performance.
